user_id,region,gender,funnel_stage,ad_platform,click_through_rate,conversion_rate
U0001,KPK,Female,Purchase,Facebook,0.15,0.1
U0002,Balochistan,Female,Consideration,Instagram,0.17,0.16
U0003,KPK,Other,Purchase,YouTube,0.04,0.02
U0004,KPK,Male,Consideration,YouTube,0.12,0.02
U0005,Gilgit-Baltistan,Female,Consideration,YouTube,0.04,0.09
U0006,Punjab,Female,Consideration,YouTube,0.07,0.08
U0007,Sindh,Female,Awareness,TikTok,0.23,0.14
U0008,KPK,Male,Awareness,Facebook,0.19,0.1
U0009,Balochistan,Female,Awareness,TikTok,0.04,0.2
U0010,Sindh,Male,Interest,Facebook,0.15,0.19
U0011,KPK,Female,Interest,Instagram,0.2,0.2
U0012,Sindh,Female,Awareness,Facebook,0.1,0.18
U0013,Balochistan,Female,Purchase,Instagram,0.21,0.18
U0014,KPK,Male,Interest,YouTube,0.1,0.14
U0015,Balochistan,Male,Purchase,Facebook,0.16,0.06
U0016,KPK,Female,Loyalty,Facebook,0.18,0.14
U0017,KPK,Female,Consideration,Facebook,0.19,0.14
U0018,Balochistan,Male,Loyalty,Facebook,0.1,0.13
U0019,Sindh,Female,Purchase,YouTube,0.03,0.13
U0020,Punjab,Male,Loyalty,TikTok,0.2,0.13
U0021,KPK,Female,Interest,Instagram,0.11,0.11
U0022,Sindh,Other,Loyalty,YouTube,0.2,0.1
U0023,KPK,Male,Interest,Facebook,0.24,0.1
U0024,Sindh,Other,Loyalty,TikTok,0.16,0.1
U0025,KPK,Female,Purchase,YouTube,0.24,0.01
U0026,Punjab,Female,Interest,Instagram,0.07,0.02
U0027,Gilgit-Baltistan,Male,Consideration,Instagram,0.18,0.13
U0028,Punjab,Male,Awareness,Instagram,0.11,0.07
U0029,KPK,Female,Awareness,YouTube,0.24,0.09
U0030,Balochistan,Male,Loyalty,Instagram,0.05,0.06
U0031,Sindh,Female,Interest,YouTube,0.16,0.11
U0032,Punjab,Female,Consideration,YouTube,0.08,0.05
U0033,Balochistan,Other,Loyalty,TikTok,0.08,0.05
U0034,Gilgit-Baltistan,Male,Interest,Facebook,0.03,0.1
U0035,Sindh,Other,Purchase,Facebook,0.09,0.14
U0036,Punjab,Female,Awareness,YouTube,0.21,0.14
U0037,Punjab,Female,Awareness,YouTube,0.09,0.08
U0038,Balochistan,Male,Purchase,TikTok,0.15,0.13
U0039,Gilgit-Baltistan,Male,Purchase,Instagram,0.02,0.15
U0040,Balochistan,Female,Awareness,TikTok,0.23,0.03
U0041,KPK,Female,Loyalty,TikTok,0.22,0.08
U0042,Punjab,Male,Interest,TikTok,0.11,0.2
U0043,Balochistan,Male,Purchase,YouTube,0.24,0.16
U0044,KPK,Female,Purchase,TikTok,0.17,0.08
U0045,KPK,Other,Interest,TikTok,0.07,0.13
U0046,Balochistan,Other,Awareness,YouTube,0.14,0.02
U0047,Sindh,Other,Purchase,Instagram,0.14,0.08
U0048,Punjab,Male,Awareness,Facebook,0.16,0.14
U0049,KPK,Female,Purchase,YouTube,0.08,0.12
U0050,Balochistan,Female,Purchase,YouTube,0.24,0.14
U0051,Punjab,Male,Purchase,Instagram,0.24,0.02
U0052,Gilgit-Baltistan,Female,Interest,Instagram,0.13,0.13
U0053,Punjab,Other,Consideration,TikTok,0.05,0.19
U0054,Sindh,Female,Loyalty,Facebook,0.09,0.19
U0055,Gilgit-Baltistan,Female,Consideration,Instagram,0.09,0.16
U0056,Punjab,Other,Loyalty,YouTube,0.02,0.01
U0057,Sindh,Male,Consideration,YouTube,0.23,0.07
U0058,Gilgit-Baltistan,Other,Interest,Instagram,0.18,0.11
U0059,Gilgit-Baltistan,Female,Loyalty,Facebook,0.2,0.17
U0060,Balochistan,Male,Awareness,Instagram,0.23,0.12
U0061,Punjab,Other,Consideration,TikTok,0.02,0.11
U0062,Gilgit-Baltistan,Other,Consideration,Instagram,0.16,0.11
U0063,Balochistan,Female,Awareness,TikTok,0.13,0.08
U0064,Punjab,Other,Awareness,TikTok,0.22,0.04
U0065,Gilgit-Baltistan,Male,Purchase,Instagram,0.1,0.19
U0066,Sindh,Male,Consideration,YouTube,0.16,0.17
U0067,Punjab,Female,Consideration,Facebook,0.24,0.11
U0068,Sindh,Male,Loyalty,TikTok,0.15,0.12
U0069,Punjab,Female,Purchase,YouTube,0.06,0.04
U0070,KPK,Female,Purchase,YouTube,0.12,0.09
U0071,Gilgit-Baltistan,Female,Loyalty,Instagram,0.16,0.1
U0072,Punjab,Other,Purchase,YouTube,0.1,0.14
U0073,KPK,Female,Consideration,Facebook,0.1,0.18
U0074,Balochistan,Male,Awareness,Facebook,0.12,0.08
U0075,Gilgit-Baltistan,Male,Awareness,TikTok,0.14,0.09
U0076,KPK,Female,Consideration,Instagram,0.13,0.06
U0077,KPK,Female,Purchase,TikTok,0.09,0.17
U0078,Punjab,Male,Consideration,Facebook,0.19,0.08
U0079,Sindh,Male,Consideration,Facebook,0.16,0.05
U0080,Gilgit-Baltistan,Other,Awareness,YouTube,0.1,0.04
U0081,Balochistan,Male,Loyalty,TikTok,0.22,0.06
U0082,Gilgit-Baltistan,Female,Interest,TikTok,0.21,0.07
U0083,Sindh,Male,Loyalty,YouTube,0.24,0.18
U0084,Balochistan,Other,Purchase,YouTube,0.2,0.08
U0085,KPK,Other,Loyalty,Facebook,0.2,0.01
U0086,KPK,Other,Interest,Facebook,0.09,0.07
U0087,KPK,Male,Interest,YouTube,0.03,0.04
U0088,KPK,Female,Awareness,Instagram,0.17,0.07
U0089,Gilgit-Baltistan,Female,Purchase,Facebook,0.1,0.12
U0090,Punjab,Female,Loyalty,Facebook,0.08,0.08
U0091,KPK,Female,Interest,Facebook,0.06,0.16
U0092,KPK,Male,Interest,Instagram,0.14,0.09
U0093,Gilgit-Baltistan,Male,Awareness,TikTok,0.04,0.02
U0094,Gilgit-Baltistan,Male,Loyalty,Instagram,0.18,0.14
U0095,Punjab,Female,Purchase,Instagram,0.05,0.07
U0096,Punjab,Male,Consideration,YouTube,0.18,0.05
U0097,Balochistan,Male,Interest,Instagram,0.17,0.02
U0098,Balochistan,Female,Consideration,TikTok,0.1,0.1
U0099,Punjab,Other,Awareness,TikTok,0.18,0.18
U0100,Gilgit-Baltistan,Female,Interest,TikTok,0.06,0.04
U0101,KPK,Female,Purchase,Facebook,0.09,0.13
U0102,Punjab,Female,Consideration,YouTube,0.16,0.07
U0103,Sindh,Other,Loyalty,YouTube,0.13,0.17
U0104,Balochistan,Other,Interest,Instagram,0.06,0.13
U0105,Sindh,Female,Consideration,Facebook,0.13,0.06
U0106,KPK,Other,Awareness,YouTube,0.12,0.15
U0107,Punjab,Female,Awareness,Instagram,0.05,0.1
U0108,Sindh,Male,Awareness,Instagram,0.1,0.1
U0109,Sindh,Other,Loyalty,Facebook,0.08,0.02
U0110,Balochistan,Other,Consideration,YouTube,0.18,0.18
U0111,KPK,Female,Purchase,Instagram,0.21,0.19
U0112,Punjab,Other,Purchase,Facebook,0.1,0.03
U0113,KPK,Male,Purchase,Instagram,0.06,0.08
U0114,Balochistan,Other,Interest,TikTok,0.22,0.07
U0115,Sindh,Female,Awareness,TikTok,0.06,0.03
U0116,Gilgit-Baltistan,Male,Interest,Facebook,0.13,0.05
U0117,Balochistan,Male,Awareness,Instagram,0.15,0.16
U0118,Gilgit-Baltistan,Male,Purchase,YouTube,0.09,0.02
U0119,Gilgit-Baltistan,Female,Loyalty,TikTok,0.08,0.17
U0120,Sindh,Male,Loyalty,Facebook,0.09,0.07
U0121,Sindh,Other,Interest,YouTube,0.19,0.05
U0122,KPK,Female,Loyalty,Facebook,0.08,0.05
U0123,Sindh,Female,Awareness,TikTok,0.07,0.11
U0124,Gilgit-Baltistan,Male,Interest,Facebook,0.23,0.13
U0125,Balochistan,Male,Consideration,Instagram,0.02,0.12
U0126,Sindh,Female,Consideration,YouTube,0.2,0.15
U0127,Sindh,Male,Awareness,YouTube,0.11,0.14
U0128,Balochistan,Male,Interest,TikTok,0.09,0.11
U0129,Punjab,Female,Purchase,YouTube,0.05,0.14
U0130,Sindh,Male,Consideration,Instagram,0.06,0.03
